claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,Nikolaj,Ved_verdens_ende,A_Second_Chance_-LRB-2014_film-RRB-,New_Amsterdam_-LRB-TV_series-RRB-,Nikolaj_Coster-Waldau,Nukaaka_Coster-Waldau
150448,Atwood,John_Atwood,Atwood_Airport,Charles_Atwood,"Atwood,_Colorado",Thomas_Atwood
214861,The_arts,Sequential_art,Sky_Arts_-LRB-New_Zealand-RRB-,Narrative_art,Narrative,Seven_arts
156709,Adrienne_Bailon,Adrienne_-LRB-disambiguation-RRB-,Empire_Girls-COLON-_Julissa_and_Adrienne,Joe_Bailon,Julissa_Bermudez,Certified_Accountant
129629,SPY,Prisoners_of_War_-LRB-TV_series-RRB-,Andrew_Kaplan,Fit_2_Stitch,Homeland_-LRB-TV_series-RRB-,Israeli_Academy_of_Film_and_Television
33078,1974–75_Boston_Celtics_season,TD_Garden,1949–50_Boston_Celtics_season,1968–69_Boston_Celtics_season,1951–52_Boston_Celtics_season,Boston_Celtics
6744,Alternatives_to_the_Ten_Commandments,Ten_Commandments_-LRB-disambiguation-RRB-,Ten_Commandments_of_Computer_Ethics,Master_of_the_Altarpiece_of_the_Ten_Commandments,The_Ten_Commandments_of_Dog_Ownership,Epic
226034,Tetris_Blitz,Tetris_2,"Tetris_Online,_Inc.",The_Tetris_Company,Tetris_-LRB-disambiguation-RRB-,Tetris
40190,We_Love_Cyndi_–_Tribute_to_Cyndi_Lauper,List_of_awards_and_nominations_received_by_Cyndi_Lauper,Cyndi_Lauper,Sisters_of_Avalon_-LRB-song-RRB-,True_Colors_World_Tour,That's_What_I_Think
76253,The_Hunger_Games_-LRB-disambiguation-RRB-,Strictly_from_hunger,Hunger_Hill,List_of_accolades_received_by_The_Hunger_Games_film_series,Hunger_Artist,List_of_hunger_strikes
